,name,address,post_codes,lat,long
63,Coop,"Frankentalerstrasse 20, 8049 Zürich",8049,47.4060321,8.4815884
64,Coop,"Forchstrasse 180, 8125 Zollikerberg",8125,47.3461139,8.601835699999999
65,Coop,"Sellenbüren 61, 8143 Stallikon",8143,47.3428304,8.4830749
66,Coop,"Talackerstrasse 68, 8152 Glattbrugg",8152,47.4284888,8.563879499999999
67,Coop,"Leimbachstrasse 200, 8041 Zürich",8041,47.3262341,8.514298499999999
68,Coop,"Bahnhofstrasse 11, 8802 Kilchberg",8802,47.3231335,8.5489812
69,Coop,"Zürcherstrasse 1, 8142 Uitikon",8142,47.3674507,8.4615999
70,Coop,"Adlerstrasse 1, 8600 Dübendorf",8600,47.3976122,8.616562199999999
71,Coop,"Europastrasse 4, 8152 Glattbrugg",8152,47.4306294,8.5600503
72,Coop,"Rütihofstrasse 15, 8049 Zürich",8049,47.41373489999999,8.479611799999999
73,Coop,"Mühlackerstrasse 199, 8046 Zürich",8046,47.4255113,8.4969846
74,Coop,"Schaffhauserstrasse 124, 8152 Glattbrugg",8152,47.4343434,8.567015
75,Coop,"Industriestrasse 28, 8305 Dietlikon",8305,47.41345219999999,8.6182091
76,Coop,"Ecke Sonnenrein/Zumikerstrasse, 8700 Küsnacht",8700,47.3289375,8.5903137
77,Coop,"Poststrasse 3, 8134 Adliswil",8134,47.31303579999999,8.5255531
78,Coop,"Dorfstrasse 16, 8700 Küsnacht",8700,47.3179866,8.581712099999999
79,Coop,"Morgental 39, 8126 Zumikon",8126,47.336789,8.6182071
80,Coop,"Zürcherstrasse 149, 8102 Oberengstringen",8102,47.4105673,8.4578553
81,Coop,"Zürcherstrasse 6, 8952 Schlieren",8952,47.3973601,8.4487969
82,Coop,"Wigartenstrasse 8/10, 8117 Fällanden",8117,47.3709779,8.6416956
83,Coop,"Bahnhofstrasse 41, 8305 Dietlikon",8305,47.42189399999999,8.618678899999999
84,Coop,"Weingartenstrasse 11, 8803 Rüschlikon",8803,47.30768200000001,8.5542227
85,Coop,"Goldschlägiplatz 5, 8952 Schlieren",8952,47.3998205,8.4414784
86,Coop,"Im Heumoos 25, 8906 Bonstetten",8906,47.3240853,8.4691391
87,Coop,"Zentrum 1, 8105 Regensdorf",8105,47.4313251,8.4691306
