,QuarLang,AlterV10Sort,SexLang,Ziv2Lang,AnzBestWir
136,Albisrieden,6,Female,Widowed,34
137,Albisrieden,7,Male,Dissolved partnership,1
138,Albisrieden,7,Male,Divorced,158
139,Albisrieden,7,Male,In registered partnership,7
140,Albisrieden,7,Male,Single,185
141,Albisrieden,7,Male,Married,504
142,Albisrieden,7,Male,Widowed,14
143,Albisrieden,7,Female,Dissolved partnership,1
144,Albisrieden,7,Female,Divorced,277
145,Albisrieden,7,Female,In registered partnership,6
146,Albisrieden,7,Female,Single,187
147,Albisrieden,7,Female,Unknown,1
148,Albisrieden,7,Female,Married,470
149,Albisrieden,7,Female,Widowed,78
150,Albisrieden,8,Male,Divorced,103
151,Albisrieden,8,Male,In registered partnership,5
152,Albisrieden,8,Male,Single,103
153,Albisrieden,8,Male,Married,429
154,Albisrieden,8,Male,Widowed,43
155,Albisrieden,8,Female,Divorced,241
156,Albisrieden,8,Female,Single,143
157,Albisrieden,8,Female,Married,375
158,Albisrieden,8,Female,Widowed,159
159,Albisrieden,9,Male,Divorced,37
160,Albisrieden,9,Male,In registered partnership,2
161,Albisrieden,9,Male,Single,31
162,Albisrieden,9,Male,Married,235
163,Albisrieden,9,Male,Widowed,74
164,Albisrieden,9,Female,Divorced,115
165,Albisrieden,9,Female,Single,79
166,Albisrieden,9,Female,Married,170
167,Albisrieden,9,Female,Widowed,312
168,Albisrieden,10,Male,Dissolved partnership,1
169,Albisrieden,10,Male,Divorced,4
170,Albisrieden,10,Male,Single,2
171,Albisrieden,10,Male,Married,47
172,Albisrieden,10,Male,Widowed,37
173,Albisrieden,10,Female,Divorced,24
174,Albisrieden,10,Female,Single,16
175,Albisrieden,10,Female,Married,26
176,Albisrieden,10,Female,Widowed,161
177,Albisrieden,11,Male,Widowed,1
178,Albisrieden,11,Female,Single,1
179,Albisrieden,11,Female,Widowed,3
180,Alt-Wiedikon,1,Male,Single,856
181,Alt-Wiedikon,1,Female,Single,797
182,Alt-Wiedikon,2,Male,Single,638
183,Alt-Wiedikon,2,Female,Single,598
184,Alt-Wiedikon,3,Male,Divorced,1
185,Alt-Wiedikon,3,Male,Single,1558
186,Alt-Wiedikon,3,Male,Unknown,1
187,Alt-Wiedikon,3,Male,Married,81
188,Alt-Wiedikon,3,Female,Divorced,3
189,Alt-Wiedikon,3,Female,Single,1426
190,Alt-Wiedikon,3,Female,Married,120
191,Alt-Wiedikon,3,Female,Widowed,1
192,Alt-Wiedikon,4,Male,Dissolved partnership,5
193,Alt-Wiedikon,4,Male,Divorced,45
194,Alt-Wiedikon,4,Male,In registered partnership,19
195,Alt-Wiedikon,4,Male,Single,1733
196,Alt-Wiedikon,4,Male,Married,528
197,Alt-Wiedikon,4,Female,Divorced,66
198,Alt-Wiedikon,4,Female,In registered partnership,4
199,Alt-Wiedikon,4,Female,Single,1571
200,Alt-Wiedikon,4,Female,Married,596
201,Alt-Wiedikon,4,Female,Widowed,1
202,Alt-Wiedikon,5,Male,Dissolved partnership,8
203,Alt-Wiedikon,5,Male,Divorced,93
