,name,address
116,Migros,Zugerstrasse 15 / 17 6330 Cham
117,Migros,Jakob Stutz-Strasse 75 8335 Hittnau
118,Migros,Guggenbühlstrasse 1 8404 Winterthur
119,Migros,Baarerstrasse 22 6300 Zug
120,Migros,Rütistrasse 16 8634 Hombrechtikon
121,Migros,Hintermühlenstrasse 4 8409 Winterthur
122,Migros,Winterthurerstrasse 5 8472 Seuzach
123,Migros,Schützengass 4 8805 Richterswil
124,Migros,Hintergasse 12 5615 Fahrwangen
125,Migros,Grabenstrasse 5 6300 Zug
126,Migros,Maihölzli 5 6331 Hünenberg
127,Migros,Wambisterstrasse 5412 Gebenstorf
128,Migros,Tösstalstrasse 54 8488 Turbenthal
129,Migros,Flachsacherstrasse 17 5242 Lupfig
130,Migros,Roosstrasse 23 8832 Wollerau
131,Migros,Bachtelstrasse 16 8340 Hinwil
132,Migros,Bachmattstrasse 35 5210 Windisch
133,Migros,Heinrich - Gujerstrasse 10 8494 Bauma
134,Migros,Bachstrasse 15 5600 Lenzburg
135,Migros,Pfäffikonerstrasse 19 8834 Schindellegi
136,Migros,Neumarkt 1 5200 Brugg Ag
137,Migros,Zugerstrasse 32 6314 Unterägeri
138,Migros,Richensee 2 6285 Hitzkirch
139,Migros,Buonaserstrasse 1 6343 Rotkreuz
140,Migros,Bruggerstrasse 11 c 5103 Wildegg
141,Migros,Zürcherstrasse 4 8640 Rapperswil Sg
142,Migros,Weinlandstrasse 4 8451 Kleinandelfingen
143,Migros,Bandwiesstrasse 6 8630 Rüti Zh
144,Migros,Untere Bahnhofstrasse 19 8640 Rapperswil Sg
145,Migros,Unterdorfstrasse 21 5703 Seon
146,Migros,Gwattstrasse 11 8808 Pfäffikon Sz
147,Migros,St. Gallerstrasse 16 8353 Elgg
148,Migros,Molkereistrasse 5 8645 Jona
149,Migros,Promenadenstrasse 10 5330 Bad Zurzach
150,Migros,Sandgasse 6 5734 Reinach Ag
151,Migros,Hauptstrasse 5 6280 Hochdorf
152,Migros,Hauptstrasse 17 5312 Döttingen
153,Migros,Sagiweg 8 5737 Menziken
154,Migros,Bahnhofstrasse 2 8355 Aadorf
155,Migros,Bahnhofstrasse 11b 6037 Root
156,Migros,Bahnhofstrasse 20 8636 Wald Zh
157,Migros,Feldstrasse 6 8853 Lachen Sz
158,Migros,Eisenbahnstrasse 2 8840 Einsiedeln
159,Migros,Lindenplatz 2 5722 Gränichen
160,Migros,Bresteneggstrasse 9b 5033 Buchs Ag
161,Migros,Siegwartstrasse 11 6403 Küssnacht am Rigi
162,Migros,Rickenstrasse 12 8733 Eschenbach
163,Migros,Bernstrasse Ost 52 5034 Suhr
164,Migros,Frauenfelderstrasse 95 9548 Matzingen
165,Migros,Ebisquare-Strasse 1 6030 Ebikon
166,Migros,Unterdorfstrasse 6033 Buchrain
167,Migros,Bahnhofstrasse 72 8500 Frauenfeld
168,Migros,Zürcherstrasse 227 8500 Frauenfeld
169,Migros,Löhningerstrasse 4 8213 Neunkirch
170,Migros,Gääli 6 6026 Rain
171,Migros,Langfeldstrasse 53a 8500 Frauenfeld
172,Migros,Schaffhauserstrasse 72 8222 Beringen
173,Migros,Bahnhofplatz 3h 5000 Aarau
174,Migros,Zentralstrasse 16 6030 Ebikon
175,Migros,Winterthurerstrasse 27 8370 Sirnach
176,Migros,Igelweid 18 5000 Aarau
177,Migros,Binzmattweg 8 5035 Unterentfelden
178,Migros,Obgardirain 1 6043 Adligenswil
179,Migros,Parkstrasse 25 6410 Goldau
180,Migros,Bahnhofstrasse 56 / 58 8200 Schaffhausen
181,Migros,Dürstlingweg 2 8203 Schaffhausen
182,Migros,Wilerstrasse 5 9542 Münchwilen
183,Migros,Picardiestrasse 3 5040 Schöftland
184,Migros,Hohlenbaumstrasse 79 8200 Schaffhausen
185,Migros,Kapfstrasse 3 6020 Emmenbrücke
186,Migros,Zürcherstrasse 25 8730 Uznach
187,Migros,Bahnhofstrasse 15 8253 Diessenhofen
188,Migros,Mettenwilstrasse 11 6203 Sempach Station
189,Migros,Seetalstrasse 50 6020 Emmenbrücke
190,Migros,Sonnenplatz 1 6020 Emmenbrücke
191,Migros,Würzenbachstrasse 19 6006 Luzern
192,Migros,Kreuzbuchstrasse 53 6006 Luzern
193,Migros,Kaltenbacherstrasse 41 8260 Stein am Rhein
194,Migros,Friedentalstrasse 6 6004 Luzern
195,Migros,Zentrum Rössli 5018 Erlinsbach Ag
196,Migros,Luzernstrasse 36 6208 Oberkirch Lu
