,name,address
68,Coop Supermarkt Kilchberg,"Bahnhofstrasse 11, 8802 Kilchberg"
69,Coop Supermarkt Uitikon Waldegg,"Zürcherstrasse 1, 8142 Uitikon"
70,Coop Supermarkt Dübendorf Center,"Adlerstrasse 1, 8600 Dübendorf"
71,Coop Supermarkt Glattbrugg Bahnhof,"Europastrasse 4, 8152 Glattbrugg"
72,Coop Supermarkt Zürich Rütihof,"Rütihofstrasse 15, 8049 Zürich"
73,Coop Supermarkt Zürich Mühlackerstrasse,"Mühlackerstrasse 199, 8046 Zürich"
74,Coop Supermarkt Glattbrugg,"Schaffhauserstrasse 124, 8152 Glattbrugg"
75,Coop Supermarkt Dietlikon Center,"Industriestrasse 28, 8305 Dietlikon"
76,Coop Supermarkt Küsnacht Itschnach,"Ecke Sonnenrein/Zumikerstrasse, 8700 Küsnacht"
77,Coop Supermarkt Adliswil,"Poststrasse 3, 8134 Adliswil"
78,Coop Supermarkt Küsnacht Dorf,"Dorfstrasse 16, 8700 Küsnacht"
79,Coop Supermarkt Zumikon Morgental,"Morgental 39, 8126 Zumikon"
80,Coop Supermarkt Oberengstringen,"Zürcherstrasse 149, 8102 Oberengstringen"
81,Coop Supermarkt Schlieren Lilie,"Zürcherstrasse 6, 8952 Schlieren"
82,Coop Supermarkt Fällanden,"Wigartenstrasse 8/10, 8117 Fällanden"
83,Coop Supermarkt Dietlikon Bahnhofstrasse,"Bahnhofstrasse 41, 8305 Dietlikon"
84,Coop Supermarkt Rüschlikon,"Weingartenstrasse 11, 8803 Rüschlikon"
85,Coop Supermarkt Schlieren Rietpark,"Goldschlägiplatz 5, 8952 Schlieren"
86,Coop Supermarkt Bonstetten,"Im Heumoos 25, 8906 Bonstetten"
87,Coop Supermarkt Regensdorf Zentrum,"Zentrum 1, 8105 Regensdorf"
88,Coop Supermarkt Birmensdorf,"Zürcherstrasse 13A, 8903 Birmensdorf"
89,Coop Supermarkt Zürich Airport Shopping,"Airport Center, 8060 Zürich"
90,Coop Supermarkt Regensdorf Rägi Märt,"Feldstrasse 2, 8105 Regensdorf"
91,Coop Supermarkt Erlenbach,"Seestrasse 17, 8703 Erlenbach"
92,Coop Supermarkt Kloten Center,"Schaffhauserstrasse 146, 8302 Kloten"
93,Coop Supermarkt Thalwil,"Florastrasse 1, 8800 Thalwil"
94,Coop Supermarkt Urdorf,"Birmensdorferstrasse 79, 8902 Urdorf"
95,Coop Supermarkt Volketswil Volkiland,"Industriestrasse 1, 8604 Volketswil"
96,Coop Supermarkt Dietikon Brunau,"Birmendorferstrasse 9, 8953 Dietikon"
97,Coop Supermarkt Rümlang Riedmatt,"Oberglatterstrasse 35, 8153 Rümlang"
98,Coop Supermarkt Langnau am Albis,"Höflistrasse 7, 8135 Langnau am Albis"
99,Coop Supermarkt Bassersdorf,"Breitistrasse 32, 8303 Bassersdorf"
100,Coop Supermarkt Dällikon,"Industriestrasse 14, 8108 Dällikon"
