,QuarLang,SteuerTarifLang,StichtagDatJahr,QuarSort,QuarCd,SteuerTarifSort,SteuerTarifCd,SteuerEinkommen_p50,SteuerEinkommen_p25,SteuerEinkommen_p75
58,Oberstrass,Basic single,2020.0,63.0,63.0,0.0,0.0,53.1,22.1,87.9
59,Oberstrass,Married person,2020.0,63.0,63.0,1.0,1.0,147.2,92.5,230.1
60,Oerlikon,Single-parent,2020.0,115.0,115.0,2.0,2.0,57.75,33.35,87.25
61,Oerlikon,Basic single,2020.0,115.0,115.0,0.0,0.0,47.0,21.0,73.1
62,Oerlikon,Married person,2020.0,115.0,115.0,1.0,1.0,99.1,61.1,148.3
63,Rathaus,Single-parent,2020.0,11.0,11.0,2.0,2.0,60.7,30.05,91.1
64,Rathaus,Basic single,2020.0,11.0,11.0,0.0,0.0,49.05,20.4,85.8
65,Rathaus,Married person,2020.0,11.0,11.0,1.0,1.0,121.8,70.0,198.9
66,Saatlen,Single-parent,2020.0,121.0,121.0,2.0,2.0,39.7,19.5,57.3
67,Saatlen,Basic single,2020.0,121.0,121.0,0.0,0.0,33.4,12.8,53.9
68,Saatlen,Married person,2020.0,121.0,121.0,1.0,1.0,67.0,43.9,95.2
69,Schwamendingen-Mitte,Single-parent,2020.0,122.0,122.0,2.0,2.0,30.9,14.6,52.3
70,Schwamendingen-Mitte,Basic single,2020.0,122.0,122.0,0.0,0.0,35.3,17.2,54.6
71,Schwamendingen-Mitte,Married person,2020.0,122.0,122.0,1.0,1.0,62.85,39.7,89.15
72,Seebach,Single-parent,2020.0,119.0,119.0,2.0,2.0,41.8,21.1,67.05
73,Seebach,Basic single,2020.0,119.0,119.0,0.0,0.0,39.7,18.0,61.4
74,Seebach,Married person,2020.0,119.0,119.0,1.0,1.0,73.2,46.0,109.0
75,Seefeld,Single-parent,2020.0,81.0,81.0,2.0,2.0,83.4,52.9,127.9
76,Seefeld,Basic single,2020.0,81.0,81.0,0.0,0.0,64.4,32.95,107.2
77,Seefeld,Married person,2020.0,81.0,81.0,1.0,1.0,145.8,90.0,245.6
78,Sihlfeld,Single-parent,2020.0,34.0,34.0,2.0,2.0,45.2,26.5,69.0
79,Sihlfeld,Basic single,2020.0,34.0,34.0,0.0,0.0,45.7,22.6,70.4
80,Sihlfeld,Married person,2020.0,34.0,34.0,1.0,1.0,74.8,45.2,115.6
81,Unterstrass,Single-parent,2020.0,61.0,61.0,2.0,2.0,56.8,35.7,90.6
82,Unterstrass,Basic single,2020.0,61.0,61.0,0.0,0.0,47.9,21.9,74.3
83,Unterstrass,Married person,2020.0,61.0,61.0,1.0,1.0,96.95,62.2,154.1
84,Weinegg,Single-parent,2020.0,83.0,83.0,2.0,2.0,73.0,47.5,118.2
85,Weinegg,Basic single,2020.0,83.0,83.0,0.0,0.0,48.7,17.1,79.3
86,Weinegg,Married person,2020.0,83.0,83.0,1.0,1.0,125.4,80.65,206.75
87,Werd,Single-parent,2020.0,41.0,41.0,2.0,2.0,56.8,35.3,97.2
88,Werd,Basic single,2020.0,41.0,41.0,0.0,0.0,52.2,25.7,83.0
89,Werd,Married person,2020.0,41.0,41.0,1.0,1.0,87.35,35.5,157.0
90,Wipkingen,Single-parent,2020.0,102.0,102.0,2.0,2.0,58.4,35.6,82.65
91,Wipkingen,Basic single,2020.0,102.0,102.0,0.0,0.0,47.9,24.2,71.6
92,Wipkingen,Married person,2020.0,102.0,102.0,1.0,1.0,91.2,58.0,138.0
93,Witikon,Single-parent,2020.0,74.0,74.0,2.0,2.0,66.2,40.7,100.1
94,Witikon,Basic single,2020.0,74.0,74.0,0.0,0.0,46.8,20.0,74.5
95,Witikon,Married person,2020.0,74.0,74.0,1.0,1.0,114.8,76.5,178.4
96,Wollishofen,Single-parent,2020.0,21.0,21.0,2.0,2.0,53.5,32.2,83.9
97,Wollishofen,Basic single,2020.0,21.0,21.0,0.0,0.0,45.2,20.9,72.8
98,Wollishofen,Married person,2020.0,21.0,21.0,1.0,1.0,98.6,62.95,156.55
